     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;        100;    12356520.455;       57825.130;      132216.940;       69730.529;       16655.638 (23.886 %);  10941.254
   UNROLL4;        1562.500;           1.526;           0.001;     100000;        100;    20253696.609;      134990.020;      205043.390;      152471.418;       20161.214 (13.223 %);   5003.819
   UNROLL8;        1562.500;           1.526;           0.001;     100000;        100;    25426231.468;      171663.210;      232811.440;      184336.575;       18813.867 (10.206 %);   4138.839
     CBLAS;        1562.500;           1.526;           0.001;     100000;        100;     7638019.003;       27633.410;       36527.970;       30191.242;        2150.394 ( 7.123 %);  25270.225
