     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;        100;     1953722.839;       32192.030;       72585.080;       38831.413;        9246.405 (23.812 %);  19647.481
   UNROLL4;        1562.500;           1.526;           0.001;     100000;        100;     2343811.093;       55100.960;       80812.370;       60493.749;        7561.820 (12.500 %);  12611.872
   UNROLL8;        1562.500;           1.526;           0.001;     100000;        100;     2602967.282;       61082.210;      111166.700;       69689.381;       11916.021 (17.099 %);  10947.715
     CBLAS;        1562.500;           1.526;           0.001;     100000;        100;     1333916.840;       27704.280;       41484.280;       29425.776;        3250.723 (11.047 %);  25927.590
