     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;     1566942.380;      111898.133;      293424.433;      156735.237;       44061.787 (28.112 %);   4867.696
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;     1558560.370;      177086.933;      409501.500;      212819.962;       44942.644 (21.118 %);   3584.906   
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;     5197932.296;      223650.467;      335980.100;      242937.282;       30483.162 (12.548 %);   3140.479
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;     2808294.301;       27697.300;       32734.000;       28244.260;        1062.306 (3.761 %);  27012.195
