     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;     1388439.705;      115928.633;      266172.233;      146096.291;       28550.762 (19.542 %);   5222.169
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;     2338232.978;      178312.767;      499398.067;      226372.494;       59721.263 (26.382 %);   3370.283
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;     3746605.843;      225140.667;      312639.833;      238495.879;       18928.184 (7.936 %);   3198.963
   CBLAS;        1562.500;           1.526;           0.001;     100000;         30;     1479457.281;       27699.633;       32445.733;       28148.443;         976.699 (3.470 %);  27104.144
