     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;     1077644.784;      340213.233;      508285.633;      374650.986;       40038.731 (10.687 %);   2036.400
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;     1747101.807;      534701.867;      756982.800;      606342.195;       65258.060 (10.763 %);   1258.265
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;     6762566.081;      678457.867;      839708.633;      701278.806;       29154.290 (4.157 %);   1087.926
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;     1131447.565;       27782.667;      254077.667;       40950.264;       39181.958 (95.682 %);  18630.880
