     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;     1221288.025;      126560.467;      473384.300;      172711.938;       73923.211 (42.801 %);   4417.410
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;     3962823.325;      176804.300;      356481.667;      209377.436;       36491.008 (17.428 %);   3643.848
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;     3603664.378;      225688.567;      292713.700;      242990.073;       18417.421 (7.579 %);   3139.797
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;     1659993.933;       27710.667;       50630.733;       37227.946;        7842.127 (21.065 %);  20493.729   
