     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;     1186591.451;      111091.800;      299151.200;      144283.412;       40422.248 (28.016 %);   5287.784
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;     6132165.653;      177544.467;      299752.733;      201459.000;       24895.532 (12.358 %);   3787.071
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;     5004268.146;      222842.800;      332317.100;      241009.529;       29401.688 (12.199 %);   3165.599
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;     2369768.457;       27692.400;       59122.933;       31491.472;        7145.365 (22.690 %);  24226.859
