     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;     1655795.284;      111090.900;      247786.800;      146227.602;       40212.754 (27.500 %);   5217.479
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;     1983898.979;      176551.900;      271431.200;      202672.699;       23934.639 (11.810 %);   3764.392
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;     2860786.287;      222974.100;      267051.067;      232827.234;        9083.568 (3.901 %);   3276.848
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;     1159463.448;       27701.700;       32903.500;       28286.686;        1128.676 (3.990 %);  26971.680
