     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;     4288199.480;     4638002.340;     4408283.707;       99214.378 ( 2.251 %);     17.307
       IKJ;         234.375;           0.229;           0.000;        100;         50;     4021150.460;     4448678.080;     4158525.859;      113486.793 ( 2.729 %);     18.346
       IEX;         234.375;           0.229;           0.000;        100;         50;     3232184.580;     3498252.320;     3343735.962;       81613.406 ( 2.441 %);     22.817
    UNROLL;         234.375;           0.229;           0.000;        100;         50;     2620391.780;     3008048.600;     2746289.912;       99453.736 ( 3.621 %);     27.781
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;     2497355.500;     2890131.200;     2581582.294;       81471.144 ( 3.156 %);     29.553
     CBLAS;         234.375;           0.229;           0.000;        100;         50;       55754.180;       71128.900;       58278.755;        2869.263 ( 4.923 %);   1309.121
