     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;     4270820.620;     5049162.040;     4431483.134;      155445.624 ( 3.508 %);     17.216
       IKJ;         234.375;           0.229;           0.000;        100;         50;     4067735.980;     4400591.880;     4182529.376;       81783.129 ( 1.955 %);     18.241
       IEX;         234.375;           0.229;           0.000;        100;         50;     3250558.060;     3610680.480;     3369276.863;       88239.490 ( 2.619 %);     22.644
    UNROLL;         234.375;           0.229;           0.000;        100;         50;     2568941.340;     2961020.960;     2706695.523;      101174.291 ( 3.738 %);     28.187
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;     2518963.080;     2851860.820;     2629967.816;       91642.155 ( 3.485 %);     29.009
     CBLAS;         234.375;           0.229;           0.000;        100;         50;       55799.860;      193013.280;       71068.559;       29314.542 (41.248 %);   1073.526
