     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;     4312116.960;     5105257.640;     4562601.821;      167640.137 ( 3.674 %);     16.722
       IKJ;         234.375;           0.229;           0.000;        100;         50;     3976069.840;     4629295.080;     4261635.695;      162048.772 ( 3.803 %);     17.903
       IEX;         234.375;           0.229;           0.000;        100;         50;     3228674.460;     3692226.760;     3393223.023;      118335.672 ( 3.487 %);     22.484
    UNROLL;         234.375;           0.229;           0.000;        100;         50;     2648517.000;     2904785.500;     2748741.769;       73069.352 ( 2.658 %);     27.756
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;     2511796.140;     2854148.280;     2619426.953;       72379.857 ( 2.763 %);     29.126
     CBLAS;         234.375;           0.229;           0.000;        100;         50;       56035.800;      124709.460;       59969.401;       11716.222 (19.537 %);   1272.215
