     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;     4306903.580;     5933787.300;     4887588.247;      505993.749 (10.353 %);     15.610
       IKJ;         234.375;           0.229;           0.000;        100;         50;     4314237.240;     5707469.380;     4890169.763;      336762.604 ( 6.887 %);     15.601
       IEX;         234.375;           0.229;           0.000;        100;         50;     3229438.420;     4397275.140;     3594223.056;      316635.095 ( 8.810 %);     21.227
    UNROLL;         234.375;           0.229;           0.000;        100;         50;     2632597.400;     3010692.400;     2739380.598;       92404.183 ( 3.373 %);     27.851
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;     2733921.320;     3813973.340;     3121936.735;      284675.317 ( 9.119 %);     24.438
     CBLAS;         234.375;           0.229;           0.000;        100;         50;       56045.940;      112260.740;       69184.167;       17020.157 (24.601 %);   1102.766
