     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;     4258490.620;     5831352.440;     5006418.768;      415161.961 ( 8.293 %);     15.239
       IKJ;         234.375;           0.229;           0.000;        100;         50;     3990217.400;     4905759.940;     4307667.366;      252012.213 ( 5.850 %);     17.711
       IEX;         234.375;           0.229;           0.000;        100;         50;     3232063.100;     4080040.000;     3517789.719;      244972.384 ( 6.964 %);     21.688
    UNROLL;         234.375;           0.229;           0.000;        100;         50;     2729043.480;     3687890.720;     2972107.002;      178340.482 ( 6.000 %);     25.670
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;     2545648.300;     3609986.960;     2930866.009;      222933.509 ( 7.606 %);     26.031
     CBLAS;         234.375;           0.229;           0.000;        100;         50;       56057.540;       79446.360;       61486.378;        5209.225 ( 8.472 %);   1240.827
