     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;     4248268.880;     5654858.780;     4704535.272;      293182.900 ( 6.232 %);     16.217
       IKJ;         234.375;           0.229;           0.000;        100;         50;     4107224.120;     4965749.000;     4566443.927;      173105.965 ( 3.791 %);     16.708
       IEX;         234.375;           0.229;           0.000;        100;         50;     3275952.840;     3652407.180;     3448334.565;       87779.413 ( 2.546 %);     22.125
    UNROLL;         234.375;           0.229;           0.000;        100;         50;     2554761.200;     3151534.880;     2774233.139;      140559.287 ( 5.067 %);     27.501
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;     2506070.760;     2920256.680;     2688059.599;      107658.918 ( 4.005 %);     28.383
     CBLAS;         234.375;           0.229;           0.000;        100;         50;       55989.380;       73527.840;       58437.175;        3059.323 ( 5.235 %);   1305.572
