     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;        100;     1717883.784;       56040.800;       93000.520;       67068.905;        9295.476 (13.860 %);  11375.457
   UNROLL4;        1562.500;           1.526;           0.001;     100000;        100;     1926020.679;       87065.060;      128463.410;       96796.040;       12953.351 (13.382 %);   7881.928
   UNROLL8;        1562.500;           1.526;           0.001;     100000;        100;     3440120.064;      112326.890;      162231.700;      120311.756;       11894.634 ( 9.887 %);   6341.354
     CBLAS;        1562.500;           1.526;           0.001;     100000;        100;     1575199.630;       27714.130;       47005.280;       31805.166;        5130.679 (16.132 %);  23987.910
