     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        2257.317;         459.080;         466.000;         459.650;           1.161 (0.252 %);   1659.828
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;    18641468.897;      681522.067;     1001387.567;      750423.214;       77925.954 (10.384 %);   1016.679
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        3481.494;         734.900;        1522.900;         782.169;        145.504 (18.603 %);    975.415
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;    21330664.882;       27862.667;       35778.800;       29394.651;        1952.655 (6.643 %);  25955.044

