     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;    22132468.467;      112733.267;      336890.533;      175491.188;       53109.816 (30.264 %);   4347.452
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;    14935686.493;      227196.933;      441228.067;      262377.377;       52256.154 (19.916 %);   2907.794
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;    16970895.441;      228669.600;      428145.167;      291850.357;       46494.240 (15.931 %);   2614.146
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;    19855244.713;       27612.633;       37765.867;       28930.609;        2029.872 (7.016 %);  26371.358

