     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;     9270461.643;      111927.700;      452018.067;      157682.179;       66975.805 (42.475 %);   4838.463
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;    31011652.585;      222238.700;      423284.600;      262888.112;       43203.362 (16.434 %);   2902.145
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;    44914617.535;      226392.733;      390416.733;      246763.931;       36657.166 (14.855 %);   3091.779
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;     7636017.489;       27424.000;       33357.600;       28708.620;        1505.704 (5.245 %);  26575.274
