     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;    10779215.326;      111346.667;      250234.433;      142936.752;       39120.143 (27.369 %);   5337.602
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;    69762368.624;      226507.700;      639515.067;      272698.076;       75627.575 (27.733 %);   2797.744
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;    26960131.791;      222432.400;      293037.500;      234413.572;       12776.647 (5.450 %);   3254.673
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;    23573935.780;       27431.567;       35746.967;       28699.870;        1980.188 (6.900 %);  26583.377
