     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;     1037207.143;      111866.200;      196175.367;      134697.479;       17717.678 (13.154 %);   5664.096
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;     1797929.705;      177469.967;      316672.233;      198203.515;       24053.266 (12.136 %);   3849.273
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;     2384932.199;      222198.367;      336115.600;      241422.153;       26198.280 (10.852 %);   3160.188
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;     1588777.983;       27708.267;       50708.633;       30751.001;        5176.053 (16.832 %);  24810.231
