     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;     4303493.120;     6561156.400;     5235401.417;      590673.226 (11.282 %);     14.573
       IKJ;         234.375;           0.229;           0.000;        100;         50;     4184135.060;     5730516.160;     4877652.578;      384153.015 ( 7.876 %);     15.642
       IEX;         234.375;           0.229;           0.000;        100;         50;     3511330.040;     4561158.620;     4007938.792;      260464.597 ( 6.499 %);     19.036
    UNROLL;         234.375;           0.229;           0.000;        100;         50;     2606179.740;     3620110.180;     3066516.518;      193652.229 ( 6.315 %);     24.880
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;     2601297.820;     3234020.760;     2976275.132;      152489.511 ( 5.124 %);     25.634
     CBLAS;         234.375;           0.229;           0.000;        100;         50;       55865.060;       73365.560;       58871.470;        3580.358 ( 6.082 %);   1295.941
