     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;     5132449.320;      339621.067;      586391.300;      393184.977;       66998.441 (17.040 %);   1940.408
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;     2388467.114;      533508.467;      948644.367;      650963.171;       90832.645 (13.954 %);   1172.016
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;     3439616.597;      682636.867;      877396.033;      724623.106;       53958.042 (7.446 %);   1052.878
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;     1329340.223;       27844.467;      101832.533;       43939.862;       14739.301 (33.544 %);  17363.265
