     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;    23415645.454;      379211.700;     2079002.667;      611066.190;      330984.505 (54.165 %);   1248.538
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;    41463412.321;      680684.600;     1090874.900;      802973.172;      111205.931 (13.849 %);    950.143
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;    28294215.729;      769651.033;     1834901.200;      900263.396;      208572.972 (23.168 %);    847.462
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;    10026999.412;       27679.733;      267180.800;       91116.152;       77219.657 (84.749 %);   8373.262
