     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;    11869212.880;      113724.900;      272195.333;      150843.967;       36453.063 (24.166 %);   5057.806
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;    19542806.333;      225506.800;      459479.833;      271131.870;       46899.364 (17.298 %);   2813.905
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;    52608074.604;      222446.167;      287189.167;      234927.806;       11582.265 (4.930 %);   3247.549
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;    10402150.146;       28055.167;       39587.400;       31238.970;        3440.813 (11.014 %);  24422.683
