     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;    19811241.687;      113907.133;      278565.233;      160977.880;       50930.993 (31.639 %);   4739.406
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;    21762914.681;      222227.400;      350763.033;      258068.702;       33884.673 (13.130 %);   2956.342
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;    22042967.971;      223378.567;      349737.033;      240881.295;       23052.409 (9.570 %);   3167.284
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;    10757787.347;       27442.867;      133681.567;       32085.213;       18330.287 (57.130 %);  23778.538
