     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;        1562.500;           1.526;           0.001;     100000;         30;   381568406.372;      111607.833;      317318.033;      147548.697;       55110.696 (37.351 %);   5170.764
   UNROLL4;        1562.500;           1.526;           0.001;     100000;         30;    31595485.435;      222241.900;      464134.100;      273433.269;       51859.340 (18.966 %);   2790.222
   UNROLL8;        1562.500;           1.526;           0.001;     100000;         30;    26147261.302;      224465.833;      298144.267;      237241.702;       16062.854 (6.771 %);   3215.874
     CBLAS;        1562.500;           1.526;           0.001;     100000;         30;    97608648.073;       27528.400;       63320.733;       30059.851;        6430.845 (21.393 %);  25380.680
